"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal (Mil litros)"
"Brasil e Município";"Ano x Tipo de produto de origem animal"
"Brasil e Município";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Brasil e Município";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite"
"Santiago (RS)";"3830";"3699";"3739";"3876";"3646";"4700";"5173";"4657";"5082";"3826";"4025";"4081";"4326";"4511";"4531";"4190";"4446";"4336";"4208";"4270";"4339";"3977";"5691";"7819";"7775";"7308";"7976";"6626";"8125";"8386";"7782";"7998";"8546";"8785";"9087";"9214";"9602";"9310";"9421";"9844";"10136";"8209";"7157";"7953"
"Santo Ângelo (RS)";"7752";"6994";"6692";"6506";"4580";"5040";"12257";"13000";"13440";"13586";"14903";"12701";"15650";"12900";"13000";"9430";"9970";"9980";"9980";"7580";"7630";"7580";"11234";"10380";"10380";"10400";"10390";"9500";"8328";"8330";"8588";"8150";"9500";"13000";"12800";"14311";"14350";"14810";"14830";"17000";"17000";"20000";"21000";"20000"
"Santo Antônio do Palma (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1314";"729";"755";"1285";"1571";"1724";"1690";"3509";"3336";"4037";"4241";"4509";"5666";"6796";"7522";"10380";"10034";"10143";"10514";"10553";"11014";"11766";"12373";"14153";"12158"
"Santo Antônio da Patrulha (RS)";"10117";"11290";"11592";"11909";"10405";"8596";"9118";"8990";"9085";"8606";"8777";"8690";"8137";"8164";"15936";"14212";"13758";"12429";"11955";"11354";"11050";"10940";"6400";"4790";"4650";"3800";"3810";"3376";"3950";"4338";"3688";"3301";"2971";"2971";"2377";"2480";"2207";"2059";"2135";"2059";"1927";"1973";"1932";"2159"
"Santo Antônio das Missões (RS)";"219";"222";"219";"222";"968";"968";"4050";"4188";"4160";"4285";"4100";"4022";"3636";"3850";"2860";"4374";"4212";"4220";"4000";"4150";"3898";"4209";"3930";"4320";"5073";"4750";"5210";"5223";"5933";"6032";"6454";"6699";"6396";"5801";"6265";"6268";"6632";"7293";"6782";"7136";"8914";"7231";"7290";"5899"
"Santo Antônio do Planalto (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1220";"1333";"1686";"2470";"2668";"2797";"2915";"2995";"3085";"3246";"3206";"2968";"3678";"4862";"4948";"5548";"5234";"5248";"5606";"5548";"4820";"5163";"5103";"4895";"5000"
"Santo Augusto (RS)";"955";"1001";"914";"937";"1080";"2450";"6663";"6750";"6750";"4903";"5220";"5299";"5311";"5439";"5040";"5001";"5037";"5321";"5705";"4850";"5730";"6450";"8000";"9000";"8600";"8600";"11500";"11400";"10500";"9500";"9100";"15200";"12810";"12920";"18000";"16800";"21000";"33000";"27000";"25000";"30000";"21000";"19000";"17001"
"Santo Cristo (RS)";"4787";"5130";"5184";"5242";"4585";"3500";"4808";"4313";"2231";"3688";"4128";"3865";"4378";"4398";"6906";"12323";"12659";"12500";"14250";"15459";"15062";"19572";"21736";"24812";"23668";"25500";"27549";"27495";"27592";"31485";"38433";"38268";"40449";"36410";"43317";"46999";"51699";"56284";"58254";"59943";"62640";"64551";"63905";"50278"
"Santo Expedito do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2016";"2120";"1050";"2025";"2187";"2275";"2195";"2360";"1121";"1155";"1190";"6679";"3149";"3167";"15975";"15939";"16454";"16750";"20250";"20475";"18705";"20400";"19200";"21000";"21425"
"São Borja (RS)";"2548";"2589";"2675";"2350";"3130";"1439";"1995";"3949";"2058";"1846";"1961";"1948";"2030";"1858";"1875";"1606";"1880";"1908";"1570";"1450";"1512";"1990";"2382";"2710";"2470";"2168";"2544";"3147";"3273";"3589";"3823";"3579";"3893";"3677";"3861";"4048";"4012";"3688";"3618";"3548";"3354";"2717";"2527";"2230"
"São Domingos do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"914";"959";"2150";"1806";"1890";"2074";"2162";"1879";"2742";"2993";"3026";"2973";"3051";"6975";"6087";"4965";"6919";"7951";"8765";"10682";"11692";"13523";"12286";"12113";"12048";"12137";"12024";"9564";"7703"
"São Francisco de Assis (RS)";"2224";"2089";"2139";"2181";"2035";"2376";"2442";"2565";"2567";"2644";"2559";"2580";"2747";"3436";"3573";"5922";"6411";"6289";"6551";"3745";"4141";"3593";"3179";"3018";"3047";"2984";"2902";"3139";"3198";"3325";"3639";"4105";"3829";"3481";"3850";"3730";"3751";"3840";"3674";"3689";"4746";"4534";"4642";"5547"
"São Francisco de Paula (RS)";"8808";"8505";"8689";"8761";"10175";"10575";"11471";"11618";"10415";"21986";"21388";"20932";"20255";"20376";"19385";"16387";"17250";"17550";"18281";"19281";"19350";"21276";"9043";"14620";"14737";"15053";"14750";"12558";"11550";"13739";"14426";"13136";"13399";"13399";"13801";"13139";"13126";"13556";"13149";"13150";"15000";"15150";"10110";"10100"
"São Gabriel (RS)";"4186";"4115";"4147";"4190";"3708";"4100";"8850";"10604";"8891";"8709";"7222";"6940";"7369";"7140";"7486";"7570";"7683";"7960";"7978";"7957";"7344";"7270";"5181";"5132";"4846";"4930";"4716";"4037";"3925";"4391";"4172";"4084";"4525";"4525";"9310";"9241";"8862";"9127";"9714";"9800";"8500";"8000";"8000";"8000"
"São Jerônimo (RS)";"970";"910";"911";"928";"1609";"1583";"2144";"2150";"2238";"2235";"2058";"2000";"1921";"1900";"1632";"1758";"1969";"1909";"1910";"1523";"1526";"1550";"1306";"1460";"72";"75";"75";"75";"642";"986";"986";"821";"821";"840";"898";"889";"875";"865";"907";"1040";"1050";"1050";"1200";"700"
"São João da Urtiga (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1519";"1996";"2117";"2451";"2387";"2355";"2419";"2851";"3363";"3381";"3528";"3929";"4376";"4688";"4795";"5473";"6370";"6681";"7965";"8208";"8330";"8532";"18960";"17868";"18000";"18612";"17154";"17934";"14709"
"São João do Polêsine (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1880";"1868";"1906";"1094";"1899";"1892";"1876";"1577";"1558";"1543";"1571";"1622";"1212";"1137";"1100";"1166";"1209";"1154";"1093";"1091";"1050";"960";"560";"450";"460"
"São Jorge (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1604";"1643";"1684";"1735";"1853";"2310";"2216";"2314";"2170";"2059";"1848";"1938";"2059";"6192";"6563";"7154";"7526";"7667";"14400";"14405";"13829";"13040";"13210";"13082";"17508";"17750";"17894";"18642";"22290"
"São José das Missões (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"811";"673";"843";"1193";"1094";"774";"827";"964";"1089";"962";"1000";"1020";"1624";"1777";"2026";"4900";"5036";"6111";"6100";"7246";"7444";"7301";"6098";"4998";"4012"
"São José do Herval (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"500";"564";"560";"557";"550";"493";"490";"636";"589";"658";"636";"1260";"2434";"2132";"2832";"2465";"3158";"3272";"2717";"5627";"5306";"5699";"5911";"5440";"5756";"5940";"5587";"5957";"6236"
"São José do Hortêncio (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"356";"1928";"1928";"1473";"1473";"1568";"1646";"1346";"1319";"1253";"923";"1021";"1744";"1492";"1872";"1619";"1748";"1757";"1408";"1343";"1121";"1121";"766";"783";"876";"876";"875";"829";"898"
"São José do Inhacorá (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3504";"2982";"3425";"4522";"4427";"4169";"4885";"6103";"5127";"6249";"5247";"7315";"7224";"7628";"5798";"8460";"9052";"11972";"12500";"12875";"13151";"13414";"13440";"13306";"10922"
"São José do Norte (RS)";"762";"717";"740";"764";"756";"800";"1065";"1068";"1098";"983";"965";"936";"976";"933";"1200";"1713";"1969";"1522";"366";"364";"349";"417";"880";"922";"891";"830";"905";"920";"928";"987";"846";"846";"855";"840";"858";"858";"836";"804";"804";"804";"804";"108";"108";"115"
"São José do Ouro (RS)";"1571";"1724";"1732";"1737";"2250";"2217";"4351";"4818";"4950";"4441";"4758";"4757";"3937";"3890";"3901";"5057";"5100";"7530";"9300";"3456";"3800";"2800";"2177";"2351";"2398";"2412";"2658";"2530";"6755";"7093";"7415";"8425";"8804";"13586";"12000";"12180";"11717";"14400";"14850";"15170";"18000";"19764";"16500";"16763"
"São José do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1121";"1126";"1115";"1125";"1138";"1150";"1173";"1185";"1208";"1178";"1131";"2317";"2548";"2593";"2245";"2280";"1870"
"São José dos Ausentes (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2125";"2111";"10581";"1257";"7868";"7932";"7025";"6651";"3900";"3750";"4158";"4366";"4099";"4181";"4181";"4265";"4060";"4058";"4498";"4408";"4500";"5900";"5841";"5700";"5800"
"São Leopoldo (RS)";"1027";"984";"1045";"1060";"552";"857";"765";"689";"762";"699";"688";"702";"567";"592";"646";"675";"632";"628";"621";"562";"555";"571";"555";"602";"555";"547";"541";"547";"548";"553";"556";"621";"652";"665";"659";"662";"650";"626";"2562";"2160";"2009";"1668";"1537";"302"
"São Lourenço do Sul (RS)";"9246";"8761";"8866";"8983";"13104";"13143";"19660";"19878";"20596";"13208";"14743";"14448";"13680";"13975";"13990";"16250";"17520";"17500";"17300";"15500";"17200";"20600";"26089";"26533";"26658";"27190";"25830";"26535";"29894";"30233";"27691";"30896";"32379";"29075";"34800";"33191";"33723";"35323";"36000";"41843";"41475";"49891";"44095";"43800"
"São Luiz Gonzaga (RS)";"2527";"3013";"2970";"2980";"2436";"2438";"5705";"6854";"5972";"6569";"6975";"7071";"7106";"6886";"6700";"4635";"4660";"4760";"4770";"4930";"5100";"5200";"7200";"7640";"7640";"7650";"7645";"5200";"5282";"5365";"5201";"4750";"4600";"4000";"4076";"4849";"4670";"4681";"4830";"5500";"6000";"5000";"4200";"4300"
"São Marcos (RS)";"1593";"1567";"1593";"1606";"1599";"2008";"3820";"3821";"3826";"4293";"4507";"4282";"4321";"4398";"4406";"4250";"3995";"3195";"2585";"2812";"2843";"2738";"1195";"1219";"1225";"1201";"1193";"3388";"3591";"3483";"3455";"3282";"3411";"2900";"2552";"1021";"1046";"1003";"976";"859";"600";"713";"731";"510"
"São Martinho (RS)";"948";"1210";"1192";"1190";"1582";"1644";"2594";"2238";"2521";"2152";"2169";"2094";"2385";"2405";"2486";"2543";"2802";"3190";"3821";"4376";"4420";"4620";"6320";"6385";"6400";"7040";"7000";"8830";"9000";"9000";"7800";"13000";"13500";"14650";"15500";"16000";"17500";"18000";"21000";"20000";"18000";"15000";"17000";"18500"
"São Martinho da Serra (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"626";"617";"602";"1306";"1232";"1247";"1238";"1270";"1289";"1323";"1260";"1228";"1102";"1350";"1412";"1324";"1499";"1297";"1176";"1186";"1055";"1186";"311";"306";"300"
"São Miguel das Missões (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"4400";"4180";"4295";"4300";"4400";"4480";"4600";"3860";"3710";"3710";"3705";"3707";"3710";"3754";"3748";"3500";"3300";"4500";"6000";"6040";"6444";"6460";"6490";"6661";"7500";"11000";"12500";"11500";"11300"
"São Nicolau (RS)";"1119";"1012";"990";"976";"1364";"1386";"3077";"3171";"3107";"3420";"3540";"3619";"3550";"3650";"2625";"1696";"1900";"1817";"2300";"2420";"2480";"2530";"1722";"1931";"1578";"1473";"1462";"2097";"2179";"2266";"2315";"3082";"3146";"3011";"3101";"3005";"3101";"3361";"3850";"3921";"4091";"4110";"3728";"3825"
"São Paulo das Missões (RS)";"2563";"2607";"2629";"2654";"2247";"2913";"3918";"3380";"3891";"3694";"3611";"3830";"4150";"4561";"5782";"6915";"7022";"7041";"4630";"5000";"5005";"9308";"9119";"10812";"11487";"9766";"10416";"10926";"10331";"10543";"9449";"8502";"8706";"15151";"15060";"15871";"15801";"16920";"18851";"19551";"19975";"21430";"30420";"32951"
"São Pedro da Serra (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1410";"1452";"1369";"1541";"1434";"1448";"1466";"1469";"1472";"1502";"1487";"1501";"1516";"1546";"1562";"1577";"1569";"1420";"1392";"2738";"3188";"3188";"2698";"2813";"2622"
"São Pedro das Missões (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"927";"846";"796";"807";"1302";"1880";"2166";"3520";"4026";"4524";"4520";"4442";"4543";"4632";"3834";"3213";"2874"
"São Pedro do Butiá (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1611";"2900";"3561";"5678";"6185";"5839";"5725";"6535";"6939";"7168";"6662";"5720";"7623";"8241";"9008";"12034";"12270";"12480";"12451";"13500";"13600";"13720";"15170";"15810";"17020"
"São Pedro do Sul (RS)";"2452";"2385";"2456";"2487";"1730";"1791";"2347";"2412";"2394";"3275";"3322";"3567";"3651";"3305";"4084";"4016";"4047";"4116";"4125";"4334";"4282";"4364";"4391";"3615";"3540";"3545";"3635";"3107";"3102";"3177";"2927";"2365";"2688";"2720";"2364";"2511";"2459";"2274";"2231";"2298";"2600";"2800";"3513";"5548"
"São Sebastião do Caí (RS)";"4925";"5513";"5466";"5430";"7875";"7775";"10989";"10053";"10758";"7720";"8354";"8650";"7896";"7046";"7399";"3168";"2743";"2659";"2957";"2841";"2781";"2864";"1020";"1010";"1031";"1037";"1040";"1029";"1040";"1019";"1028";"2240";"2206";"2273";"2250";"2295";"2311";"2126";"2746";"3027";"3059";"2539";"2533";"502"
"São Sepé (RS)";"2313";"2198";"2234";"2259";"2040";"2650";"3027";"3341";"3103";"3230";"3123";"3078";"3118";"3078";"3078";"3000";"3054";"3008";"3114";"2731";"2672";"2507";"3734";"3377";"3365";"3309";"3622";"5341";"5350";"5194";"5088";"3605";"3304";"3200";"3331";"3403";"3574";"3626";"3450";"3306";"2700";"2600";"2200";"2200"
"São Valentim (RS)";"2565";"2974";"3023";"3039";"2900";"3100";"3914";"3914";"3992";"4000";"4234";"4100";"4974";"5039";"5173";"2287";"2330";"2404";"2433";"2456";"2500";"2625";"3486";"2180";"1904";"1932";"2001";"1725";"1776";"1833";"1946";"2042";"2063";"5494";"5558";"5604";"5475";"5781";"7800";"8400";"11361";"9752";"8000";"7000"
"São Valentim do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1517";"1521";"1496";"1818";"1520";"1450";"1550";"1506";"2311";"2312";"2300";"2295";"2305";"2328";"2508";"2481";"2484";"5256";"5401";"5503";"5601";"5479";"5539";"5485";"5376"
"São Valério do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"856";"950";"980";"2000";"2200";"2000";"2000";"2180";"2200";"2000";"1800";"1680";"2280";"1900";"2500";"3000";"2880";"3000";"4500";"5000";"4800";"4800";"4500";"4600";"4706"
"São Vendelino (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"20";"417";"430";"440";"530";"552";"541";"502";"486";"491";"503";"501";"505";"515";"510";"510";"843";"910";"907";"916";"911";"890";"837";"950";"1094";"1094";"502";"532";"521"
"São Vicente do Sul (RS)";"821";"771";"773";"785";"728";"980";"1052";"2858";"2943";"2987";"3098";"3196";"3486";"3714";"3640";"3583";"3601";"3849";"3305";"3329";"3288";"3188";"1440";"1610";"1522";"1459";"1557";"1591";"1569";"1724";"1771";"1915";"1810";"1766";"1837";"1937";"1812";"1814";"1737";"1762";"1700";"1702";"1709";"1628"
"Sapiranga (RS)";"2158";"1841";"1833";"1843";"1720";"1950";"2794";"3445";"2740";"2891";"2999";"3141";"2097";"735";"589";"411";"255";"252";"270";"526";"514";"547";"857";"743";"804";"917";"889";"809";"896";"826";"813";"262";"253";"258";"232";"235";"280";"270";"257";"414";"420";"424";"472";"552"
"Sapucaia do Sul (RS)";"1020";"875";"864";"891";"550";"600";"694";"645";"743";"688";"715";"728";"508";"440";"423";"285";"261";"245";"228";"67";"120";"128";"123";"153";"161";"159";"156";"153";"135";"135";"101";"84";"67";"50";"50";"49";"49";"49";"49";"49";"49";"48";"34";"30"
"Sarandi (RS)";"2623";"2987";"2883";"2900";"2922";"2982";"4650";"5638";"6640";"6052";"5776";"5557";"5943";"6092";"3104";"3449";"3571";"4111";"6533";"2635";"2891";"3566";"6704";"7240";"7350";"7325";"7585";"8035";"8306";"8226";"7635";"9114";"11670";"11787";"12650";"11623";"11822";"11997";"12207";"15485";"16443";"17426";"14854";"14940"
"Seberi (RS)";"1963";"2199";"2177";"2239";"1664";"1665";"2678";"2740";"2181";"2483";"2767";"2767";"2300";"2320";"2577";"4130";"4100";"4326";"4684";"5165";"5527";"6439";"4585";"4410";"4454";"4575";"4606";"4712";"6262";"6326";"6764";"7007";"7005";"10956";"11005";"11029";"11058";"11069";"11999";"14675";"15000";"14000";"10500";"12140"
"Sede Nova (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1730";"1840";"1938";"3401";"3431";"3412";"3599";"4565";"4480";"4585";"5044";"4389";"6768";"6500";"7000";"5700";"7000";"9000";"9000";"9500";"10000";"10500";"11000";"14000";"14000";"14000";"11500";"11500";"13500"
"Segredo (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2271";"2314";"2328";"2328";"2356";"2366";"2402";"1996";"1997";"2017";"2025";"2033";"1614";"1652";"1550";"1530";"1536";"1549";"1555";"1579";"1603";"1614";"1622";"1631";"1643";"1783";"1856";"1912";"2200"
"Selbach (RS)";"693";"793";"741";"701";"657";"614";"845";"870";"854";"861";"945";"942";"1065";"2941";"3836";"3998";"4523";"4963";"6393";"6965";"6792";"7246";"10517";"13170";"15650";"15706";"17912";"18200";"16956";"16369";"15950";"14350";"21000";"20000";"20109";"20110";"22750";"22840";"22890";"23760";"23555";"23810";"23401";"26518"
"Senador Salgado Filho (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3491";"3783";"7201";"6968";"7172";"7611";"6971";"7603";"7823";"8527";"8392";"12894";"14016";"14495";"15481";"13871";"14370";"14400";"14429";"14285";"12230"
"Sentinela do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1700";"1900";"2250";"920";"900";"850";"1100";"1058";"900";"950";"860";"850";"750";"675";"677";"696";"765";"807";"765";"700";"700";"792";"490";"506";"473"
"Serafina Corrêa (RS)";"2217";"2238";"2195";"2223";"1714";"1740";"2242";"2150";"2197";"2235";"2434";"2434";"2584";"2630";"4355";"3607";"3706";"3811";"4026";"4086";"5230";"9490";"7673";"7346";"7859";"7911";"8054";"11621";"11892";"13670";"13792";"13945";"14084";"14139";"14330";"14376";"16489";"21093";"21400";"30500";"31000";"30700";"30336";"29600"
"Sério (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"813";"862";"908";"1400";"1420";"1330";"1300";"1333";"1175";"1249";"1480";"1770";"1445";"1816";"2462";"2900";"2100";"3300";"3260";"3690";"4025";"4350";"4100";"4285";"4212"
"Sertão (RS)";"900";"1007";"950";"1024";"1776";"1105";"1045";"892";"938";"956";"969";"988";"989";"1185";"1875";"2278";"2555";"3989";"3650";"3770";"2555";"5456";"5242";"6286";"6622";"7664";"8880";"9914";"12512";"10592";"9223";"20570";"23432";"21554";"22419";"22191";"29205";"31205";"30324";"30195";"35729";"30577";"31283";"28994"
"Sertão Santana (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2300";"2400";"2150";"900";"950";"900";"920";"896";"840";"845";"806";"810";"800";"720";"703";"630";"682";"581";"566";"610";"620";"634";"437";"407";"412"
"Sete de Setembro (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1519";"1519";"1520";"1520";"1520";"2231";"2250";"2866";"2600";"2800";"3800";"4030";"3899";"3911";"3930";"3919";"4500";"6000";"6500";"7000";"6800"
"Severiano de Almeida (RS)";"2021";"2123";"2161";"2178";"2100";"2360";"3457";"1866";"1900";"1686";"1515";"1425";"1957";"1860";"2199";"2276";"2291";"2339";"2339";"2385";"2350";"2460";"3961";"4000";"3818";"3909";"4145";"4218";"5040";"5353";"5427";"5814";"5698";"8759";"8832";"8951";"8490";"8629";"16440";"12398";"11600";"12300";"12398";"13305"
"Silveira Martins (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1604";"1628";"1674";"1702";"1734";"1698";"1727";"682";"1486";"1532";"1571";"1344";"1285";"1260";"1306";"1174";"957";"884";"760";"850";"976";"1010";"981";"1001";"952";"830";"850";"630";"432"
"Sinimbu (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2102";"2157";"3245";"2985";"2603";"2606";"2658";"2499";"2267";"2330";"2237";"1945";"2033";"2038";"2000";"2000";"2001";"2040";"1700";"1500";"2520";"2550";"2800";"2380";"3407"
"Sobradinho (RS)";"3766";"3507";"3531";"3555";"3098";"3126";"2395";"2190";"2314";"2354";"2704";"2640";"2958";"2993";"3619";"2658";"2671";"2680";"3609";"3652";"3667";"3721";"3723";"2121";"2130";"2136";"2144";"1053";"1055";"1038";"1105";"1107";"1112";"1117";"1123";"1136";"1158";"1205";"1228";"1552";"2100";"1896";"2100";"2500"
"Soledade (RS)";"3820";"4514";"4607";"4605";"4443";"5100";"7130";"7500";"7200";"8050";"7203";"7166";"9129";"9050";"8520";"4000";"4080";"6826";"6880";"6406";"6448";"7056";"5410";"5470";"5670";"5820";"6450";"6081";"8044";"7657";"11472";"11119";"10782";"11720";"14423";"15968";"14805";"15233";"14677";"14960";"15260";"16635";"13556";"13545"
"Tabaí (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"782";"750";"750";"750";"750";"657";"113";"112";"194";"194";"200";"220";"336";"451";"519";"589";"780";"832";"694";"777";"900"
"Tapejara (RS)";"3992";"3699";"3653";"3691";"3400";"2240";"2398";"2241";"2302";"2315";"2224";"2132";"2428";"2265";"7228";"5840";"7584";"8505";"10576";"8865";"10061";"10563";"10681";"8921";"9134";"10460";"12352";"10600";"10389";"10699";"10716";"10996";"11537";"12056";"12442";"12550";"13049";"13735";"13579";"17390";"17224";"16615";"22284";"12500"
"Tapera (RS)";"1229";"1170";"1089";"1044";"663";"700";"1150";"1430";"1692";"1705";"1861";"1910";"1993";"2386";"3242";"3226";"3275";"4078";"4957";"2950";"3140";"4117";"7186";"7230";"6800";"7107";"9450";"9616";"8432";"7784";"6917";"7417";"7600";"6500";"6617";"7000";"11000";"9220";"9170";"8187";"8057";"8550";"8724";"8730"
"Tapes (RS)";"2506";"2253";"2126";"2162";"2016";"2244";"2975";"2862";"3092";"2363";"2468";"2491";"2318";"2230";"2200";"4900";"4100";"3500";"3400";"1700";"1400";"1660";"800";"950";"822";"980";"1050";"1000";"1200";"1160";"1070";"950";"855";"861";"770";"820";"741";"761";"750";"740";"648";"470";"468";"475"
"Taquara (RS)";"11272";"10715";"10827";"10880";"10287";"10790";"15530";"14758";"15221";"7640";"7678";"7849";"7286";"6943";"5989";"3590";"3575";"3618";"3595";"3659";"3630";"4210";"8852";"9295";"8721";"8301";"8568";"8680";"8329";"10456";"10310";"9299";"9717";"9618";"7331";"7109";"9764";"9277";"8814";"8795";"9210";"8764";"8807";"6238"
"Taquari (RS)";"6260";"6844";"6940";"7018";"5535";"5522";"6934";"7100";"7119";"9217";"9437";"9639";"8800";"8800";"8000";"4285";"4080";"3310";"3100";"2971";"4132";"3931";"4129";"3015";"2693";"2693";"2600";"1500";"1188";"1980";"569";"1324";"1324";"1326";"683";"759";"1300";"1333";"1333";"1450";"1500";"1200";"1500";"2359"
"Taquaruçu do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1541";"1540";"1639";"1771";"1890";"2021";"2020";"2040";"2194";"2215";"2240";"2280";"2285";"2313";"2345";"2408";"2409";"2430";"5759";"5761";"5765";"6309";"6323";"6365";"8000";"9500";"7750";"8335";"9220"
"Tavares (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2501";"2170";"2228";"2320";"2309";"2295";"2252";"2454";"2538";"2545";"2568";"2159";"2140";"1710";"984";"912";"892";"892";"936";"941";"909";"909";"909";"911";"956";"949";"948";"1217";"1220";"1376";"1376";"1376";"-";"-";"1"
"Tenente Portela (RS)";"6176";"6494";"6423";"6301";"3440";"8510";"9537";"8081";"9537";"8427";"8713";"8524";"8375";"8398";"8400";"6890";"7022";"7884";"8770";"4165";"4278";"4464";"6625";"7110";"7220";"7942";"8061";"7789";"7562";"7804";"7815";"10000";"9720";"11900";"12500";"13500";"13800";"14500";"16800";"16800";"17000";"14000";"15000";"16900"
"Terra de Areia (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1326";"1324";"1125";"1095";"1060";"1100";"1100";"1100";"995";"911";"870";"799";"555";"560";"562";"478";"440";"420";"420";"336";"380";"319";"303";"296";"437";"429";"369";"420";"447"
"Teutônia (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"10423";"9102";"8954";"13934";"14003";"16223";"17300";"19395";"19017";"19518";"20017";"21000";"18037";"20468";"21200";"21250";"25000";"24200";"16800";"16723";"19100";"20870";"20770";"22913";"25371";"27660";"27000";"29100";"33000";"35550";"36620";"36292";"34600";"33000";"31800"
