"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal (Mil litros)"
"Brasil e Município";"Ano x Tipo de produto de origem animal"
"Brasil e Município";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Brasil e Município";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite"
"Boa Vista do Buricá (RS)";"3080";"3322";"5286";"3387";"3753";"5388";"5773";"5395";"5764";"5492";"5489";"5270";"6123";"6057";"6185";"6181";"6185";"6592";"8714";"8755";"8790";"9250";"11525";"6235";"6290";"6919";"7040";"9250";"12220";"10889";"11386";"11492";"12181";"14080";"14924";"16267";"16918";"22631";"23536";"24360";"25456";"25507";"25252";"24801"
"Boa Vista do Cadeado (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"6629";"6228";"6600";"5420";"4910";"4920";"4620";"4710";"3628";"3832";"3964";"4227";"7800";"8250";"8800";"12000";"11980"
"Boa Vista do Incra (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2960";"2695";"2373";"3449";"3116";"3117";"4600";"4690";"5065";"7285";"7250";"7397";"11250";"11700";"12037";"11970";"11397"
"Boa Vista do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"5475";"5300";"5450";"5670";"5400";"5700";"4320";"5355";"5817";"4862";"4953";"4708";"6039";"6550";"6479";"6372";"6500";"5500";"5500";"3288";"4881"
"Bom Jesus (RS)";"3631";"3607";"3673";"3705";"4000";"4100";"6429";"4813";"4089";"3548";"3433";"3433";"3627";"3657";"3551";"3490";"2892";"2550";"2595";"6280";"6858";"6631";"4800";"5544";"5643";"5541";"5350";"5050";"4552";"4941";"5192";"4961";"5085";"5086";"5239";"5081";"5123";"5213";"5265";"5500";"5350";"5500";"5300";"5400"
"Bom Princípio (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2339";"2488";"2529";"4842";"4804";"4497";"3280";"3470";"3070";"3108";"3173";"3157";"3220";"2591";"2625";"2562";"2573";"2584";"2589";"2595";"2646";"2672";"3779";"4055";"4137";"4178";"4157";"4050";"3985";"5870";"6480";"6480";"5276";"5244";"1262"
"Bom Progresso (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1576";"1581";"1872";"1475";"1495";"1470";"1617";"2890";"2885";"3996";"3090";"2810";"3500";"4000";"3000";"3300";"3600";"3800";"4400";"5000";"5500";"5500";"4500";"4600";"5200"
"Bom Retiro do Sul (RS)";"1985";"2010";"2018";"2012";"2070";"2048";"2135";"2200";"2248";"2630";"2302";"2231";"2901";"2901";"5516";"5750";"5230";"5302";"5461";"5134";"5152";"5422";"5859";"3559";"3869";"2205";"2205";"3500";"2631";"3300";"3121";"5641";"4121";"4156";"3388";"5809";"6546";"7160";"10458";"9000";"9090";"9280";"11000";"9000"
"Boqueirão do Leão (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"340";"366";"339";"2274";"1820";"1963";"2052";"2154";"2358";"2386";"2338";"2383";"2478";"2432";"2323";"2368";"2305";"2328";"2262";"2256";"2256";"2258";"2260";"2257";"2257";"2200";"2250";"2120";"3547"
"Bossoroca (RS)";"388";"389";"394";"401";"2406";"708";"4157";"4186";"4288";"4480";"4481";"4507";"4544";"4650";"3840";"3868";"3788";"3394";"3886";"3439";"3468";"3496";"1985";"2056";"2192";"2017";"2116";"2329";"2679";"2864";"3079";"3150";"3101";"3119";"3206";"3278";"3674";"4046";"3874";"4175";"4344";"3575";"3668";"3965"
"Bozano (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"4000";"3600";"3000";"3300";"3500";"2960";"3100";"3700";"3900";"4300";"4400";"4601";"5200";"5000";"5100";"5150";"6142"
"Braga (RS)";"456";"531";"521";"509";"310";"297";"360";"288";"371";"382";"466";"479";"411";"451";"711";"788";"856";"1060";"1125";"1183";"1303";"1590";"1925";"1930";"1965";"2162";"2167";"1860";"1526";"1720";"1651";"2600";"2500";"2300";"2700";"2700";"3100";"3300";"4000";"4000";"3500";"3000";"3200";"5400"
"Brochier (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"4478";"4833";"5617";"5209";"2759";"2787";"2843";"2497";"2488";"2511";"2504";"2599";"2618";"2644";"2671";"2617";"2486";"2461";"2450";"2462";"2486";"2451";"2255";"3767";"3956";"3928";"2461";"2282";"2166"
"Butiá (RS)";"573";"620";"585";"589";"1100";"1085";"1204";"1300";"1246";"1231";"1167";"1121";"1419";"1400";"270";"315";"160";"158";"156";"89";"288";"265";"559";"533";"438";"318";"318";"318";"365";"318";"318";"350";"350";"359";"350";"365";"788";"793";"864";"865";"880";"800";"800";"800"
"Caçapava do Sul (RS)";"3368";"2971";"3017";"3049";"2904";"3800";"5328";"6073";"5631";"4858";"5168";"5226";"4778";"4867";"5673";"5943";"6010";"7785";"8877";"9969";"10892";"10279";"4073";"4316";"4454";"5588";"5977";"6389";"6481";"6545";"6494";"6539";"6603";"6599";"6562";"6627";"6695";"6800";"6355";"6038";"5615";"5514";"4687";"3890"
"Cacequi (RS)";"1315";"1350";"1374";"1392";"1251";"1280";"2378";"2733";"2510";"1998";"1954";"1900";"2160";"1800";"2299";"2350";"2374";"2194";"2244";"2451";"2292";"2092";"2270";"2289";"2290";"2441";"2738";"2800";"2802";"2900";"2800";"2000";"2003";"1900";"4118";"4180";"4186";"4989";"4990";"4995";"4000";"4000";"4000";"4000"
"Cachoeira do Sul (RS)";"7621";"6265";"6190";"6297";"6859";"8206";"10852";"11105";"10695";"11672";"11781";"12109";"11022";"11323";"12130";"11610";"11691";"11702";"11814";"11903";"11995";"12053";"8122";"7576";"7589";"7605";"7633";"7556";"7108";"7117";"7079";"7114";"7122";"7143";"7189";"7221";"7252";"7362";"7377";"7387";"7422";"6800";"7422";"7000"
"Cachoeirinha (RS)";"392";"434";"438";"439";"350";"146";"228";"250";"228";"450";"414";"367";"477";"325";"177";"132";"122";"118";"112";"108";"365";"348";"222";"207";"237";"210";"201";"193";"158";"181";"162";"162";"108";"72";"42";"41";"42";"43";"48";"49";"48";"41";"38";"34"
"Cacique Doble (RS)";"640";"1077";"1090";"1099";"824";"837";"1812";"1767";"1828";"1830";"1951";"1948";"1905";"1872";"1879";"1706";"1800";"2628";"2785";"2730";"2900";"2430";"1782";"2381";"2453";"2400";"1910";"1737";"4734";"4876";"12455";"7752";"7985";"14827";"8200";"8886";"9059";"9150";"9100";"10650";"12600";"12800";"12800";"12800"
"Caibaté (RS)";"1360";"1389";"1426";"1374";"1560";"1360";"2300";"2592";"2363";"2884";"2981";"3073";"3528";"3750";"3720";"3906";"4010";"4200";"4200";"4900";"6023";"5910";"6000";"6400";"6400";"6450";"6425";"3400";"3546";"3620";"3780";"3350";"4800";"4800";"4930";"4953";"4984";"5079";"5110";"6000";"7500";"7500";"7000";"7500"
